ipa	name	sound	Phonetic detail	English	German	French	Portuguese	Italian	Spanish	Swedish
ɪ	Near-close near-front unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/4/4c/Near-close_near-front_unrounded_vowel.ogg		kit, lid, fill, bin	ist, bitte					sill
i	Close front unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/9/91/Close_front_unrounded_vowel.ogg		happy, serious	Italien	si, île, régie, y	si, dia, país, suíço, rainha, diesel	viso, sì, zia, feed, team, sexy	dimitir, mío, y	
iː	Close front unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/9/91/Close_front_unrounded_vowel.ogg	long	fleece, seed, feel, mean, sea	viel, Berlin					sil
i̥	Close central unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/9/91/Close_front_unrounded_vowel.ogg	with voicelessness							
ɨ	Close central unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/5/53/Close_central_unrounded_vowel.ogg								
ɔ	Open-mid back rounded vowel	https://upload.wikimedia.org/wikipedia/commons/0/02/Open-mid_back_rounded_vowel.ogg			Osten, kommen	sort, minimum	formosa, formosos, avó, somente	otto, sarò, Sean		moll
ɔː	Open-mid back rounded vowel	https://upload.wikimedia.org/wikipedia/commons/0/02/Open-mid_back_rounded_vowel.ogg	long	thought, Maud, dawn, fall, straw						
ɔ̃	Open-mid back rounded vowel	https://upload.wikimedia.org/wikipedia/commons/0/02/Open-mid_back_rounded_vowel.ogg	nasal			son, nom				
o	Close-mid back rounded vowel	https://upload.wikimedia.org/wikipedia/commons/8/84/Close-mid_back_rounded_vowel.ogg			originell	sot, haut, bureau	Antônio, António, avô, formoso, hospital, sortudo	ombra, otto, show, coach	boscoso	
oː	Close-mid back rounded vowel	https://upload.wikimedia.org/wikipedia/commons/8/84/Close-mid_back_rounded_vowel.ogg	long		oder, hohe					mål
õ	Close-mid back rounded vowel	https://upload.wikimedia.org/wikipedia/commons/8/84/Close-mid_back_rounded_vowel.ogg	nasal		foncé					
œ	Open-mid front rounded vowel	https://upload.wikimedia.org/wikipedia/commons/0/00/Open-mid_front_rounded_vowel.ogg			öffnen	sœur, jeune				nött
œː	Open-mid front rounded vowel	https://upload.wikimedia.org/wikipedia/commons/0/00/Open-mid_front_rounded_vowel.ogg	long							öra
œ̃	Open-mid front rounded vowel	https://upload.wikimedia.org/wikipedia/commons/0/00/Open-mid_front_rounded_vowel.ogg	nasal		Lundist	un, parfum				
ɵ	Close-mid central rounded vowel	https://en.wikipedia.org/wiki/Close-mid_central_rounded_vowel								full,  musik
ɯ	Close back unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/e/e8/Close_back_unrounded_vowel.ogg								
ɯ̥	Close back unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/e/e8/Close_back_unrounded_vowel.ogg	with voicelessness							
ø	Close-mid front rounded vowel	https://upload.wikimedia.org/wikipedia/commons/5/53/Close-mid_front_rounded_vowel.ogg			Ökonom	ceux, jeûner, queue				
øː	Close-mid front rounded vowel	https://upload.wikimedia.org/wikipedia/commons/5/53/Close-mid_front_rounded_vowel.ogg	long		Österreich					nöt
ʊ	Near-close near-back rounded vowel	https://en.wikipedia.org/wiki/File:Near-close_near-back_rounded_vowel.ogg		foot, full, woman	und					bott
u	Close back rounded vowel	https://upload.wikimedia.org/wikipedia/commons/5/5d/Close_back_rounded_vowel.ogg		situation	Universität	coup, roue	evacuar, boneco, vi-o, voo, frio	usi, ragù, tuo, look, tour	cucurucho, dúo	
uː	Close back rounded vowel	https://upload.wikimedia.org/wikipedia/commons/5/5d/Close_back_rounded_vowel.ogg	long	goose, food, fool, soon, chew, do	Hut					bot
ʉ	Close central rounded vowel	https://upload.wikimedia.org/wikipedia/commons/6/66/Close_central_rounded_vowel.ogg								ful
ʉː	Close central rounded vowel	https://upload.wikimedia.org/wikipedia/commons/6/66/Close_central_rounded_vowel.ogg								duell,  känguru
ʏ	Near-close near-front rounded vowel	https://upload.wikimedia.org/wikipedia/commons/e/e3/Near-close_near-front_rounded_vowel.ogg			müssen					syll
y	Close front rounded vowel	https://upload.wikimedia.org/wikipedia/commons/e/ea/Close_front_rounded_vowel.ogg			Psychologie	tu, sûr, rue				
yː	Close front rounded vowel	https://upload.wikimedia.org/wikipedia/commons/e/ea/Close_front_rounded_vowel.ogg			über					syl
ʌ	Open-mid back unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/9/92/Open-mid_back_unrounded_vowel.ogg		strut, bud, dull, gun						
